,Virginia,California,Florida,Arizona,New Jersey,Texas,New York,Michigan,Colorado,Nevada,Washington,Massachusetts,Illinois,Tennessee,Georgia,Missouri,South Carolina,Idaho,North Carolina,Rhode Island,West Virginia,Hawaii,Oregon,Utah,Pennsylvania,the District of Columbia,Vermont,Montana,Ohio,Maine,Wyoming,New Hampshire,Alabama,Maryland,Indiana,Connecticut,Oklahoma,New Mexico,Wisconsin,South Dakota,Iowa,Alaska,Kansas,Minnesota,Nebraska,North Dakota,Louisiana,Arkansas,Delaware,Kentucky,Mississippi
2000-01-01,136640.0,200355.0,114893.0,134216.0,183944.0,114264.0,150079.0,121246.0,183783.0,161297.0,172608.0,204750.0,145304.0,114830.0,131932.0,101200.0,122203.0,125585.0,135102.0,142842.0,71335.0,220999.0,159637.0,178960.0,106237.0,186306.0,128527.0,,111248.0,114941.0,,139079.0,103790.0,162313.0,104181.0,170761.0,80747.0,,119292.0,118373.0,96286.0,132216.0,96100.0,134761.0,120444.0,,105738.0,81854.0,151312.0,93544.0,85691.0
2000-02-01,137131.0,201206.0,115232.0,134540.0,184704.0,114388.0,150847.0,121449.0,184678.0,161344.0,173200.0,205724.0,145623.0,115019.0,132377.0,101403.0,122608.0,125539.0,135433.0,143791.0,71395.0,220880.0,160146.0,179107.0,106597.0,187274.0,128901.0,,111413.0,115533.0,,139767.0,104071.0,162338.0,104117.0,171695.0,80813.0,,119344.0,118107.0,96577.0,132403.0,96163.0,135442.0,120761.0,,106084.0,82029.0,151707.0,93651.0,85703.0
2000-03-01,137588.0,202278.0,115590.0,134923.0,185340.0,114427.0,151488.0,121835.0,185527.0,161657.0,173708.0,206741.0,146056.0,115166.0,132820.0,101653.0,122878.0,125650.0,135717.0,144661.0,71469.0,221370.0,160542.0,179315.0,106887.0,188175.0,129377.0,,111587.0,115973.0,,140485.0,104225.0,162540.0,104018.0,172565.0,81031.0,,119589.0,117736.0,96816.0,132555.0,96332.0,135978.0,121000.0,,106290.0,82182.0,152116.0,93787.0,85749.0
2000-04-01,138411.0,204532.0,116287.0,135668.0,186710.0,114635.0,152843.0,122522.0,187442.0,162320.0,174693.0,208658.0,146908.0,115497.0,133708.0,102181.0,123503.0,125823.0,136305.0,146320.0,71603.0,222055.0,161359.0,179800.0,107453.0,190216.0,130235.0,,112040.0,116944.0,,141457.0,104574.0,162957.0,103557.0,173932.0,81370.0,,119901.0,117326.0,97314.0,132682.0,96545.0,137220.0,121394.0,,106752.0,82493.0,152978.0,94088.0,85910.0
2000-05-01,139131.0,206949.0,116949.0,136444.0,187899.0,114684.0,154067.0,123364.0,189338.0,163025.0,175624.0,210524.0,147786.0,115789.0,134555.0,102763.0,123975.0,126233.0,136858.0,147741.0,71733.0,223401.0,161955.0,181660.0,107943.0,192123.0,131074.0,,112588.0,117698.0,,142470.0,104904.0,163674.0,103425.0,174878.0,81773.0,,120377.0,117252.0,97786.0,132930.0,96815.0,138377.0,121521.0,,107137.0,82721.0,153867.0,94409.0,86336.0
2000-06-01,139783.0,209464.0,117608.0,137051.0,189255.0,114756.0,155324.0,124163.0,191399.0,163662.0,176400.0,212462.0,148641.0,116031.0,135388.0,103336.0,124488.0,126633.0,137400.0,148601.0,71918.0,224730.0,162469.0,183257.0,108389.0,194299.0,131752.0,,113178.0,118526.0,,143460.0,105274.0,164408.0,103539.0,175791.0,82096.0,,120829.0,117104.0,98197.0,133028.0,97072.0,139690.0,121579.0,,107519.0,82918.0,154749.0,94715.0,86820.0
2000-07-01,140621.0,212077.0,118256.0,137695.0,190690.0,114760.0,156348.0,125069.0,193374.0,164163.0,177259.0,214767.0,149582.0,116287.0,136191.0,103941.0,124943.0,126978.0,137889.0,149408.0,72143.0,225988.0,162849.0,184782.0,108840.0,196253.0,132400.0,,113676.0,119354.0,,144918.0,105562.0,165223.0,104144.0,176796.0,82439.0,,121416.0,116975.0,98588.0,133419.0,97424.0,141071.0,121610.0,,107856.0,83096.0,155590.0,95054.0,87208.0
2000-08-01,141575.0,214846.0,118923.0,138318.0,192451.0,114977.0,157197.0,125905.0,195591.0,164814.0,177979.0,217626.0,150676.0,116538.0,137056.0,104617.0,125469.0,127328.0,138330.0,150242.0,72464.0,227549.0,163317.0,184976.0,109233.0,197868.0,133061.0,,114139.0,120181.0,,146533.0,105811.0,165894.0,104572.0,178036.0,82747.0,,122012.0,116712.0,98878.0,133415.0,97794.0,143169.0,121838.0,,108066.0,83340.0,156301.0,95445.0,87542.0
2000-09-01,142605.0,217631.0,119603.0,139060.0,194341.0,115229.0,157940.0,126671.0,197829.0,165515.0,178631.0,220755.0,151805.0,116869.0,137935.0,105289.0,126019.0,127594.0,138762.0,151390.0,72706.0,229028.0,163674.0,185464.0,109649.0,199034.0,133812.0,,114602.0,121047.0,,148220.0,106115.0,166606.0,104887.0,179259.0,83032.0,,122584.0,117080.0,99220.0,133604.0,98131.0,145098.0,122088.0,,108416.0,83632.0,156945.0,95882.0,87843.0
2000-10-01,143540.0,220271.0,120296.0,139742.0,196197.0,115491.0,158790.0,127384.0,200034.0,166209.0,179202.0,224012.0,152924.0,117167.0,138871.0,106013.0,126558.0,127888.0,139243.0,152464.0,73038.0,230643.0,164068.0,185890.0,110045.0,198985.0,134784.0,,115055.0,121839.0,,150248.0,106490.0,167392.0,105276.0,180647.0,83297.0,,123151.0,117328.0,99671.0,133508.0,98510.0,147083.0,122350.0,,108853.0,83932.0,157522.0,96267.0,88266.0
2000-11-01,144531.0,222915.0,121027.0,140381.0,197757.0,115824.0,159921.0,128181.0,202144.0,166910.0,179855.0,227067.0,153940.0,117527.0,139792.0,106800.0,127108.0,128108.0,139821.0,153491.0,73523.0,231463.0,164489.0,186519.0,110530.0,199378.0,135737.0,,115514.0,122924.0,,152071.0,106926.0,168226.0,105850.0,182027.0,83653.0,,123675.0,117254.0,100098.0,133813.0,98950.0,148532.0,122685.0,,109471.0,84394.0,158385.0,96714.0,88715.0
2000-12-01,145564.0,225511.0,121790.0,141007.0,199145.0,116204.0,161134.0,129037.0,204169.0,167576.0,180715.0,230149.0,154904.0,117955.0,140810.0,107509.0,127535.0,128362.0,140435.0,154673.0,74167.0,232344.0,165015.0,187088.0,111036.0,199890.0,136700.0,,115969.0,124097.0,,153984.0,107412.0,169174.0,106538.0,183223.0,84096.0,,124225.0,117071.0,100618.0,134216.0,99476.0,150269.0,123034.0,,110077.0,84911.0,159125.0,97193.0,89357.0
2001-01-01,146615.0,227595.0,122552.0,141622.0,200491.0,116440.0,162295.0,129830.0,206264.0,168259.0,181612.0,232850.0,155805.0,118466.0,141814.0,107998.0,128122.0,128856.0,141086.0,155805.0,74915.0,233099.0,165628.0,187654.0,111541.0,201102.0,137521.0,,116406.0,125594.0,,155659.0,107968.0,169902.0,107028.0,184354.0,84594.0,,124731.0,117216.0,100914.0,137612.0,100155.0,151757.0,123641.0,,110773.0,85544.0,160035.0,97793.0,89952.0
